artist,album,play_count
Kasabian,Kasabian,536
The Dead Weather,Sea of Cowards,461
The White Stripes,White Blood Cells,397
London Philharmonic Orchestra,The 50 Greatest Pieces of Classical Music,380
Norah Jones,Come Away with Me,302
The Dead Weather,Horehound,302
The Black Keys,Brothers,272
Citizen Cope,The Clarence Greenwood Recordings,223
Muse,Origin of Symmetry,215
The White Stripes,Elephant,212
Jack Johnson,In Between Dreams,211
London Philharmonic Orchestra,The 50 Most Essential Relaxing Classics,203
Daft Punk,Discovery,197
Ludwig van Beethoven,Beethoven: Symphonies Nos. 5 & 7,186
Muzio Clementi,"Clementi: 6 Progressive Piano Sonatinas, Op. 36 / Piano Sonatas",179
Radiohead,In Rainbows,173
Muse,Black Holes and Revelations,149
Frédéric Chopin,Chopin,149
Band of Skulls,Baby Darling Doll Face Honey,146
The xx,xx,143
Silversun Pickups,Carnavas,138
The White Stripes,Get Behind Me Satan,138
Johann Sebastian Bach,Great Composers - JS Bach,137
Elisabeth Leonskaja,Chopin : Nocturnes [complete],131
Janusz Olejniczak,The Pianist (Original Motion Picture Soundtrack),131
Antonio Vivaldi,Vivaldi: The Four Seasons,127
Massive Attack,Mezzanine,126
alt-J,An Awesome Wave,125
Billie Holiday,Billie Holiday Love Songs,123
Kings of Leon,Only by the Night,122
Kavinsky,OutRun,121
The Raconteurs,Broken Boy Soldiers,120
Finghin Collins,The 50 Most Essential Relaxing Classics,118
Billie Holiday,The Real Billie Holiday,117
The White Stripes,De Stijl,115
Air,Moon Safari,115
The Raconteurs,Consolers of the Lonely,114
Portishead,Dummy,112
The White Stripes,Icky Thump,105
Ludwig van Beethoven,Great Composers - Beethoven,101
The Black Keys,Brothers (Deluxe Edition),99
Portishead,Portishead,99
Portishead,Roseland NYC Live,98
Micatone,Is You Is,96
Rammstein,Mutter,95
Gotan Project,La Revancha Del Tango,93
Jay-Z,Magna Carta... Holy Grail,93
Edward Sharpe & The Magnetic Zeros,Up From Below,90
Ludwig van Beethoven,Classical Best Of,88
The Black Keys,Attack & Release,87
A Perfect Circle,Mer De Noms,87
The Kills,Blood Pressures,85
Crystal Fighters,Star of Love,84
Cheryl Studer,Verdi - Requiem,83
The Killers,Sam's Town,81
Zero 7,Simple Things,81
Antonio Vivaldi,Vivaldi,81
Radiohead,Amnesiac,79
André Previn,Rimsky-Korsakov: Scheherazade / Flight Of The Bumblebee,79
Various Artists,INOLVIDABLES BALADAS DE AQUELLOS DIAS,78
Niña Pastori,Joyas Prestadas,77
Rammstein,"Reise, Reise",77
Rammstein,Sehnsucht,77
Bonn Classical Philharmonic,The 50 Most Essential Relaxing Classics,77
Dawn of Midi,Dysnomia,76
Frédéric Chopin,150 Classical Masterpieces,72
Morcheeba,Charango,71
Peter Schmalfuss,The 50 Most Essential Relaxing Classics,71
Portishead,Third,71
Deap Vally,Sistrionix,70
The Chemical Brothers,Further,69
The Kills,Midnight Boom,69
Igor Stravinsky,Stravinsky: Le Sacre du Printemps (The Rite of Spring),69
Gipsy Kings,Greatest Hits,68
Band of Skulls,Sweet Sour,68
The Mars Volta,Frances the Mute,67
James Blake,Overgrown,66
The London Ensemble,Cult Cuts - Music From The Modern Cinema,64
Wolfgang Amadeus Mozart,"Children's Corner, Pianomuziek For Children Part: 2",63
Sir Simon Rattle,Samuel Barber - Adagio,63
Thievery Corporation,Abductions and Reconstructions,62
Frédéric Chopin,Chopin Masterworks Volume 1,62
Franz Liszt,Enesco: Roumanian Rhapsody - Liszt: Hungarian Rhapsody,62
The White Stripes,The White Stripes,62
Skrillex,Bangarang EP,61
The Black Angels,Phosphene Dream,61
The Chemical Brothers,Brotherhood,60
Alexander Markov,40 Most Beautiful Violin Classics,58
La Chicana,Ayer hoy era mañana,58
Philadelphia Orchestra,"Bizet: Carmen Suites No. 1 & No. 2, L'Arlésienne Suites No. 1 & No. 2, Dance of the Hours from La Gioconda",58
Metallica,Load,58
Norah Jones,Not Too Late,58
Czech Philharmonic Orchestra,100 Of Classical Music's Greatest Moments,57
Dan Auerbach,Keep It Hid,57
Wild Child,Pillow Talk,56
Gioacchino Rossini,Rossini: Overtures,56
Tool,Undertow,56
Björk,Medulla,55
Fugees,The Score,55
MGMT,Oracular Spectacular,54
CocoRosie,La maison de mon rêve,53
Franz Liszt,Liszt - My Piano Hero,52
Phosphorescent,Muchacho,52
Josef Merten,The 50 Most Essential Relaxing Classics,52
Peaceful Harmonic Orchestra,The Greatest Classical Collection On Earth,52
London Symphony Orchestra,The 50 Most Essential Relaxing Classics,51
Beirut,The Rip Tide,51
Billie Holiday,Billie Holiday,50
Roger Sanchez,Come With Me,50
Queen,The Platinum Collection,50
Jack White,Blunderbuss,49
André Hazes,Hazes 100,49
Radiohead,Kid A,49
Erik Satie,SATIE: Piano Music,49
Maxim Vengerov,"Bruch, Mendelssohn - Violin Concertos",48
Simon Trpčeski,Debussy: Images,48
The War on Drugs,Lost in the Dream,48
Vampire Weekend,Modern Vampires of the City,48
Lithuanian Chamber Orchestra,The 50 Most Essential Relaxing Classics,48
Teddy Wilson & His Orchestra,The Real Billie Holiday,48
The Strokes,Is This It,47
Skrillex,Scary Monsters And Nice Sprites EP,46
The Black Keys,The Big Come Up,46
Joshua Bell,The Essential Joshua Bell,46
Skrillex,Make It Bun Dem,45
Morcheeba,Back to Mine,44
Lana Del Rey,Born to Die,44
Tycho,Dive,44
Micatone,Ninesongs,44
Frédéric Chopin,The Pianist (Original Motion Picture Soundtrack),44
Portishead,Trip-Hop Reconstruction,44
Yo-Yo Ma,Bach: Unaccompanied Cello Suites (Remastered),43
Frédéric Chopin,Classical Classics,43
Travis,Invisible Band,43
Bonobo,Black Sands,42
Broken Bells,Broken Bells,42
Andrés Calamaro,El Regreso,42
Babasónicos,Infame,42
Lang Lang,Liszt - My Piano Hero,42
Daft Punk,Random Access Memories,42
Peter Ilyitch Tchaikovsky,Tchaikovsky,42
Beat Connection,The Palace Garden,42
Vladimir Martynov,The Sacred Spirit of Russia,42
Citizen Cope,Citizen Cope,41
Frédéric Chopin,Ultimate Classical Chill Out,41
Micatone,Wish I Was Here,41
Black Rebel Motorcycle Club,Beat the Devil’s Tattoo,40
Blur,Blur,40
Kings of Leon,Mechanical Bull (deluxe version),40
Bob Dylan,Nashville Skyline,40
The Chemical Brothers,Push the Button,40
Louis Armstrong,100 Louis Armstrong's Masterpieces,39
Tycho,Awake,39
Frédéric Chopin,"Chopin: The Poor, Sad Angel - A Chopin Recital",39
The Strokes,First Impressions of Earth,39
Edward Sharpe & The Magnetic Zeros,Here,39
Édith Piaf,The Very Best of Edith Piaf,39
Andrés Calamaro,El Cantante,38
Radiohead,Hail to the Thief,38
The Killers,Hot Fuss,38
Gotan Project,Lunatico,38
London Symphony Orchestra/André Previn,Prokofiev: Romeo and Juliet,38
The Black Keys,Little Black Submarines,37
Nikolaus Harnoncourt,Mozart : Requiem,37
Asian Dub Foundation,Tank,37
CocoRosie,Grey Oceans,36
The Black Keys,Lonely Boy,36
Tricky,Maxinquaye,36
Skrillex,More Monsters and Sprites EP,36
Radiohead,The Best Of,36
Arthur Fiedler,"I don't like classical music, but I really like this!",35
The Killers,Read My Mind,35
Rammstein,Rosenrot,35
Goose,Synrise,35
Beach House,Bloom,34
Bon Iver,"For Emma, Forever Ago",34
The Kills,Keep On Your Mean Side,34
Avicii,Levels,34
Radiohead,OK Computer,34
Wolfgang Amadeus Mozart,Romantic Piano Adagios,34
James Blunt,All the Lost Souls,33
Arctic Monkeys,AM,33
Yo-Yo Ma,"Bach: Cello Suites Nos. 1, 5 & 6",33
Amy Winehouse,Back to Black (Deluxe Edition),33
Maxim Vengerov,Maxim Vengerov - Great Violin Concertos,33
Bob Marley,Legend,32
Franz Liszt,Liszt: Scherzo and March / 3 Liebestraume / Berceuse,32
Beck,Modern Guilt,32
André Previn,Prokofiev: Romeo and Juliet,32
CocoRosie,The Adventures of Ghosthorse and Stillborn,32
Billie Holiday,The Complete Billie Holiday,32
Black Rebel Motorcycle Club,B.R.M.C.,31
Massive Attack,Heligoland,31
Röyksopp,Melody A.M.,31
Metallica,Metallica,31
Beirut,The Flying Club Cup,31
Foster the People,Torches,31
I'm In You,War Dreams,31
Johann Sebastian Bach,Bach: Complete Keyboard Concertos,30
Orchestra Di Padova E Del Veneto & Peter Maag,Beethoven: Symphonies Nos. 7 & 8,30
